treeID,species,genus,dataset,data_type,tree_H,filename,fractal_dimension,split
70,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.017999828,/train_data/00070.laz,1.2929627570540254,train
71,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.840999663,/train_data/00071.laz,1.251293009338045,train
72,Eucalyptus_miniata,Eucalyptus,Luck,TLS,14.8950001,/train_data/00072.laz,1.3954070609124485,train
73,Eucalyptus_miniata,Eucalyptus,Luck,TLS,18.73400038,/train_data/00073.laz,1.507730442638485,train
74,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.496999919,/train_data/00074.laz,1.1463425012983328,train
76,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.02300036,/train_data/00076.laz,1.297326226618042,train
78,Eucalyptus_miniata,Eucalyptus,Luck,TLS,10.11199966,/train_data/00078.laz,1.2962760834054028,train
79,Eucalyptus_miniata,Eucalyptus,Luck,TLS,19.99599952,/train_data/00079.laz,1.5135891739626928,train
80,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.107000053,/train_data/00080.laz,1.1941576917756225,train
81,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.030999959,/train_data/00081.laz,1.1768731533061447,train
82,Eucalyptus_miniata,Eucalyptus,Luck,TLS,16.70800078,/train_data/00082.laz,1.4872411255251186,train
83,Eucalyptus_miniata,Eucalyptus,Luck,TLS,18.99299926,/train_data/00083.laz,1.5208080971827245,train
84,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.993000209,/train_data/00084.laz,1.252144115721836,train
86,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.621999949,/train_data/00086.laz,1.1608959111853605,train
88,Eucalyptus_miniata,Eucalyptus,Luck,TLS,3.772999972,/train_data/00088.laz,1.0712377275989586,train
90,Eucalyptus_miniata,Eucalyptus,Luck,TLS,16.6940003,/train_data/00090.laz,1.4852316036458098,val
92,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.918999791,/train_data/00092.laz,1.1821511943054628,train
93,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.791000098,/train_data/00093.laz,1.2027549021529504,train
94,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.972000062,/train_data/00094.laz,1.200389151037838,val
95,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.626000315,/train_data/00095.laz,1.2116568374749077,train
98,Eucalyptus_miniata,Eucalyptus,Luck,TLS,21.40199965,/train_data/00098.laz,1.5020252627254569,train
99,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.591999888,/train_data/00099.laz,1.2327121251157878,train
100,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.543999791,/train_data/00100.laz,1.1008226430756625,train
101,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.191999882,/train_data/00101.laz,1.2048012161916295,train
