filename,crown_entropy,trunk_entropy,crown_trunk_ratio,crown_pts_count,trunk_pts_count,vep_slice_0,vep_slice_1,vep_slice_2,vep_slice_3,vep_slice_4,vep_slice_5,vep_slice_6,vep_slice_7,vep_slice_8,vep_slice_9
00070.laz,11.0623,5.1563,2.1454,77406,1854,0.9730195753021667,0.9997334901482487,0.9999404307815118,0.9988986041994368,0.994540230175908,2.339863812239399,2.483617552701043,2.915702968296803,4.1290477546301645,4.145251041382653
00071.laz,11.4526,5.1726,2.2141,86732,1729,0.9976014251363255,0.993274075027828,0.9986136190126012,0.9989251494777998,0.966408672349208,2.4819709800601237,3.8928143881535084,4.908803759151283,5.009152236582716,3.186675129305492
00072.laz,9.3416,8.738,1.0691,42709,25423,0.9982495804262503,0.9773914291793637,0.9976612293294644,0.9995060975837979,0.9999988605839596,0.9892255407731758,2.566581963690251,2.9124292668556744,1.0813462974103962,1.8842895792691132
00073.laz,13.7138,9.0809,1.5102,486384,35617,0.9961752424391247,0.9999806343593635,0.9989910518144175,0.9932507998828122,2.1852096484953347,3.3070169827995843,4.083478525468586,5.193152437048341,4.998565113509028,2.7887768568509888
00074.laz,9.2463,4.0702,2.2717,21220,979,0.9947393242468647,0.9784053278148155,0.999719788069434,0.9926673603181313,0.9920269952546954,0.9996715650469349,0.9254227769196525,2.0490409577483044,3.630899273262545,3.5500810275487718
00076.laz,10.3276,5.1818,1.993,50852,1939,0.995525616296719,0.9942568914336014,0.9983364584795581,0.9987790866381597,1.202513050453029,1.3867057586018423,2.6047728439094837,2.3578417850126794,2.313239178016559,3.652997835015944
00078.laz,11.1815,5.1757,2.1604,70009,1712,0.9944500243206849,0.9961469519718448,0.9999644596595803,0.9997426752224788,0.9999711651622121,0.9999834463702961,1.6301435546711953,3.0736887701703317,3.750009033784948,4.016221407949037
00079.laz,14.1708,9.3156,1.5212,582324,53713,0.999797552137161,0.9991775592093618,0.999993478201337,0.9966277350986846,1.3740528254604716,2.6515636317784574,3.6253577250063813,5.169571306363838,5.593614245993385,4.916997744268985
00080.laz,10.1938,4.8788,2.0894,43546,1672,0.9998835742327989,0.9987625635055009,0.9957888542524879,0.9990436241204712,0.9999133978138629,0.9989488917243371,1.4093818099421083,3.0693076647022957,4.2210251925922435,4.185342702644885
00081.laz,6.5811,4.2105,1.563,9405,1594,0.9963319608388473,0.9997605583525848,0.9991054643760282,0.9994461342842057,0.9989922515057114,0.9900011555163423,0.9861138402217137,1.777739186243559,0.9997118393793045,0.9652016987500656
00082.laz,13.6735,9.2115,1.4844,379769,36849,0.9930143424121255,0.9997993549357729,0.9997633508038299,0.9911224403874794,0.9996786344473286,2.567157075192265,3.6411494979401633,4.885479642464442,5.278624540921236,4.279131737591111
00083.laz,14.7049,10.144,1.4496,804602,88111,0.9988548950230433,0.9968491909003794,0.9762835405112348,0.9912703289685242,0.9997649563081196,1.645743186905621,4.180847518215371,5.555875039340711,6.083289180451187,5.550527895593508
00084.laz,10.8352,5.0837,2.1314,45296,1195,0.9973341211111854,0.9969987116262774,0.9916742682622126,0.9990482508915239,0.99957845013307,2.72584118673149,3.2698295568761937,3.8511934966354007,2.63890964314772,3.681742606083749
00086.laz,9.413,4.2287,2.226,17104,1056,0.9997171278619292,1.0,0.9916574448985775,0.984646826868755,0.9987679240688596,0.9826808027585993,0.992563136012236,0.972194686175774,1.904701046081275,3.713438099988394
00088.laz,6.5466,5.1754,1.2649,4048,1752,0.9980008838722995,0.9991421039919088,0.9999985568686524,0.9999741348979407,0.9987752983221325,0.9980524950332399,0.9993556565794943,0.999207704534259,0.9930733352502342,0.9994547530343043
00090.laz,11.4621,6.1119,1.8754,143972,6490,0.9655728287690101,0.9987008408225055,0.9975303114983459,0.9956297807966432,0.9966008677044215,0.9997734659916285,0.999348287294739,3.3672502554623054,3.5937035001689392,3.2221372281378984
00092.laz,9.5373,3.3126,2.8791,29218,1353,0.995472162207052,0.9989047442823606,0.9587399304446416,0.9991495694456819,0.9993942963887247,2.2385954293676296,1.6847792358226656,2.369164123599044,2.8042544193475667,3.620725496226073
00093.laz,8.9528,4.3958,2.0367,28104,1696,0.9871025981741127,0.9970656369813975,0.9958227891533775,0.9687553983467693,0.985484565104775,0.9996287786517118,0.9994221257869894,2.4908929232580332,3.2667507681421717,3.2270658994502663
00094.laz,9.892,5.2188,1.8955,31630,1955,0.9977528670284904,0.9982967276300372,0.9968793914540958,0.9970972142863438,0.9716239413836412,1.9501355290176943,2.5401373036284354,3.5009945087694088,3.2974181770900786,2.7352409670187976
00095.laz,9.8366,4.1711,2.3583,28915,1587,0.9983246115007038,0.9999942274688352,0.9996375401186782,0.9865554822940319,0.9982010247899227,0.9974405917057514,3.0908116139989787,3.2962514958956954,1.9524241020590547,3.5938507818988383
00098.laz,12.7174,9.6889,1.3126,202010,73435,0.9894671995465737,0.9999849298219653,0.9963151344345829,0.9999522613396207,0.9984108702961184,0.9999574722174331,1.9957952262217853,3.643867474729626,4.601557749364737,4.3567533001215635
00099.laz,7.9459,5.4378,1.4612,18861,1883,0.9949940115244779,0.9947610833363654,0.9977837879902921,0.999646173340569,0.9997386182736963,0.9995334401738949,0.9998152513651486,1.4949989537593444,1.3898031748105526,0.9804638633749958
00100.laz,8.7599,4.2689,2.052,12754,1311,0.9937294542740989,0.9990025065386942,0.9991732187028248,0.9999698453621229,0.9807165481708267,0.9980857998449751,0.985363808529357,2.3158810146079785,2.0526324082961094,3.650884773435631
00101.laz,10.449,5.1016,2.0482,33385,1166,0.9916087552234527,1.0,0.99999849362706,0.9973582301704709,0.9885905131672031,0.999918070845023,2.3167399986012147,3.4501691968198402,3.10789332617407,3.563193779194852
00102.laz,10.9095,5.0206,2.1729,45607,1067,0.9827756486023218,0.9987756887135868,0.9949285701646238,0.9997802577865197,1.947308574946941,2.6532744113416347,3.449041903992166,4.13711852767925,3.484000167141905,3.418938050228262
00104.laz,9.224,4.1942,2.1992,18432,881,0.9988220893154099,0.9849758232610216,0.9996598505498239,0.9996242720163401,0.989445749756712,0.9788972632583891,0.9537351297194269,2.2237922694216614,3.531721449281845,2.998441535833611
00105.laz,12.9715,9.6723,1.3411,289299,65803,0.9963334499997463,0.999992618917788,0.9946172869840608,0.9999887193562621,0.99895742501692,0.9205585477964784,3.3842067693497704,4.70280066563094,4.676397859191593,3.1209323572473187
00106.laz,10.7784,5.1174,2.1062,48804,1714,0.976490516498353,0.9903113705307183,0.9960726923093807,0.9998123364204978,0.9788393515612194,0.952566044821564,1.8312645758044128,3.1692755092989873,3.147524225120215,4.467576573024588
00107.laz,9.7402,4.5228,2.1536,35053,1938,0.9952327259120533,1.2491046388176277,0.9999997652634407,0.999987397929208,1.7247781108191254,2.1694356764400724,3.1442591405734506,3.878461610653777,3.6386448239362097,3.054971202611845
00108.laz,8.7286,5.8677,1.4876,38630,2754,0.9727585387776966,1.2035882169400474,2.5198146751604686,0.9996778035297108,0.9962678726554346,0.9999684328308417,0.9991375337360334,0.9896359343480204,0.9995600818351108,1.6945741831133543
00109.laz,14.5238,10.0391,1.4467,718913,88941,0.9967256670434789,0.9995081620908125,0.9999635671566062,0.9994804530922912,0.9999721604343421,3.174489119195166,4.341086245759736,5.3648652566525055,5.567360629854676,4.45662571371946
00110.laz,11.9692,6.6954,1.7877,175524,5856,0.9824232304573766,0.9940707824791091,0.9992561210130516,0.9990504219722475,0.9989978950328136,0.9999329075675232,2.9683136352089172,3.7597924389376334,3.966255633836971,3.7232139711442223
00111.laz,10.7936,4.8069,2.2454,52111,1169,0.8836794597754498,0.9999334048905268,0.9968668533299321,0.9994584816743769,0.9949432461647817,1.282070225044959,2.6630003935465445,2.578737138950096,3.9238369012975687,4.168548336081711
00112.laz,12.9023,9.6743,1.3337,312307,69606,0.9794075073181074,0.9999225844660001,0.9987470438291965,0.994331877187697,0.9983098712880203,2.199602672777017,3.4094327445890706,4.024970043978685,4.441751087906899,3.828020146201527
00113.laz,9.8317,4.9811,1.9738,33556,1741,0.9987769280524453,0.9896215199502046,0.9998913339157077,0.9987444709415703,0.9922917207055121,0.9993120829176144,0.9978031062302176,1.6423102167869235,3.8075823777881586,3.8438213171571607
00114.laz,12.6601,8.8197,1.4354,258157,30813,0.9681532533398595,0.9891639249996877,0.9998540638416152,0.9921892931901637,0.9809083920463143,2.230119363271887,3.6372738136902893,4.05227686129655,4.439825430151548,4.2832865629581605
00115.laz,10.1801,5.2396,1.9429,43887,2454,0.9936638755623903,0.9961871035072098,0.9977098885471044,0.998452287412399,0.9999199412210475,1.4581796548201356,0.9737258813581045,1.3605247528800295,3.6452731219647596,3.8303601793070787
00116.laz,9.3053,3.2661,2.8491,24610,1288,0.9923853199987365,0.9921302342877925,0.9977061719519509,0.9937731046034719,0.9988583934453706,2.4352827822685237,0.9971859886654256,0.9917688904049365,2.7607240691529373,3.445093031730387
00117.laz,10.2716,5.1147,2.0082,40218,1481,0.9999887749123118,0.9999146492987689,0.997755413715149,0.9986995658507059,0.9998721830649819,0.9895875212220555,0.9732604997058466,0.9999986956683189,3.9691456692745777,3.7743311185742363
00118.laz,13.3994,6.1135,2.1918,288957,2912,0.9992600570737028,0.9992600570737028,0.9651148335283607,0.9934362849622401,0.9985162093375332,3.110963364396349,3.7110478655629557,4.345715911451796,5.3538977960020295,4.8885615845805175
00119.laz,9.8219,4.8899,2.0086,28811,1508,0.9972209650785973,0.9966440252487702,0.9965834803132991,0.9993358620442758,0.9999437917726769,0.9631273479260044,0.9773299946850803,0.9519894722354627,3.4096726608353833,3.6449811661215503
00121.laz,13.1132,9.3701,1.3995,221677,40909,0.9999586075094562,0.9966417624330144,0.9905972712548706,0.9716694877693043,0.9705382913830586,2.501009098711475,2.813467970585759,3.796990077749181,4.554694257615159,3.3716638223120046
00122.laz,10.8921,5.1203,2.1272,53714,1513,0.9904378709877143,0.9988954206185245,0.9990245402769063,0.9968078785803307,0.9998976033198917,1.5752829127266224,2.188088104159683,3.2735006858226527,3.7867536418498724,3.6707112499432926
00123.laz,14.9632,10.1583,1.473,681758,82344,0.9961190863567122,0.9939824762031831,0.9971435132279766,0.999819606436613,1.3384794519540386,3.66015267116201,4.887125671634871,6.025218560275954,5.863990708147558,4.25147738284915
00124.laz,8.7746,3.3114,2.6498,12527,1089,0.9999345706643479,0.9968564929985687,0.9999974608381753,0.9954586256966873,0.9999532366038324,0.9999587251242397,0.9988455359952018,0.9868462209021356,3.152556567359412,3.5551432149387647
00125.laz,10.1516,4.6591,2.1789,28148,1137,0.993630794176104,0.9998816344967979,0.9997452143280996,0.8640789428209971,0.8662096453041308,0.0,0.0,1.9362116136308507,3.2528345354241126,4.039250887036613
00126.laz,12.2472,4.8871,2.506,179873,1879,0.9999683631071745,0.9996311069808457,0.9995708393473225,0.9957483295574802,2.184651761979232,3.0397665642743807,4.106949539817715,4.646720165342485,4.224998009440719,3.975533221376393
00127.laz,8.9744,3.4667,2.5887,28817,1779,1.1730501789329342,0.9975659885908761,0.9994850207612275,0.9999901293367703,0.995602949101758,0.9377869265138066,0.9917741033234606,0.9995369330177772,2.00374149209194,3.3538036119645516
00128.laz,5.2844,5.1762,1.0209,1420,1562,1.9429780687201181,1.9828781280534111,0.9987620831831503,0.9991421039919088,0.9997973711292648,0.9959997697720149,0.9895396413974054,0.9512001567617836,0.9929042710341393,0.900122143691371
00129.laz,9.2476,3.3083,2.7953,25440,1249,0.9999972374953342,0.9926364131038925,0.9679884922470298,1.9413001918009969,3.161625759810525,3.168269645240671,2.777948804543065,2.471953259084615,2.0880129989906124,1.7396615026820919
00130.laz,13.3826,6.0675,2.2056,426170,4311,0.9854983152700306,0.9993688219885396,0.9945066566836682,0.9981657678368393,0.999553435102672,1.7395223729190048,3.6369744463509712,4.722001027229404,4.953572192634829,3.6408894292816276
00132.laz,9.8218,5.1686,1.9003,22123,1270,0.9994584816743769,0.9981147696087221,0.9968395524387658,0.999809986138829,0.9999942111044529,0.9961344835095797,1.2107432115618555,2.4418455287655045,4.598537279484274,3.925415071993974
00133.laz,9.6786,5.2071,1.8587,30918,2202,0.9962414744211385,0.9872192940761725,0.9708634149883447,0.9965015168303948,0.9992631448360226,0.9944542297533716,0.9917210042645414,2.159101078823628,4.243969414278084,3.741005875642728
