treeID,species,genus,dataset,data_type,tree_H,filename
70,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.017999828, /00070.laz
71,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.840999663, /00071.laz
72,Eucalyptus_miniata,Eucalyptus,Luck,TLS,14.8950001, /00072.laz
73,Eucalyptus_miniata,Eucalyptus,Luck,TLS,18.73400038, /00073.laz
74,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.496999919, /00074.laz
76,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.02300036, /00076.laz
78,Eucalyptus_miniata,Eucalyptus,Luck,TLS,10.11199966, /00078.laz
79,Eucalyptus_miniata,Eucalyptus,Luck,TLS,19.99599952, /00079.laz
80,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.107000053, /00080.laz
81,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.030999959, /00081.laz
82,Eucalyptus_miniata,Eucalyptus,Luck,TLS,16.70800078, /00082.laz
83,Eucalyptus_miniata,Eucalyptus,Luck,TLS,18.99299926, /00083.laz
84,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.993000209, /00084.laz
86,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.621999949, /00086.laz
88,Eucalyptus_miniata,Eucalyptus,Luck,TLS,3.772999972, /00088.laz
90,Eucalyptus_miniata,Eucalyptus,Luck,TLS,16.6940003, /00090.laz
92,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.918999791, /00092.laz
93,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.791000098, /00093.laz
94,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.972000062, /00094.laz
95,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.626000315, /00095.laz
98,Eucalyptus_miniata,Eucalyptus,Luck,TLS,21.40199965, /00098.laz
99,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.591999888, /00099.laz
100,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.543999791, /00100.laz
101,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.191999882, /00101.laz
102,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.279999912, /00102.laz
104,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.801000416, /00104.laz
105,Eucalyptus_miniata,Eucalyptus,Luck,TLS,17.83899993, /00105.laz
106,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.365000367, /00106.laz
107,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.231000125, /00107.laz
108,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.184999645, /00108.laz
109,Eucalyptus_miniata,Eucalyptus,Luck,TLS,21.12399977, /00109.laz
110,Eucalyptus_miniata,Eucalyptus,Luck,TLS,15.39400023, /00110.laz
111,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.807999641, /00111.laz
112,Eucalyptus_miniata,Eucalyptus,Luck,TLS,18.38000029, /00112.laz
113,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.907999903, /00113.laz
114,Eucalyptus_miniata,Eucalyptus,Luck,TLS,13.50600043, /00114.laz
115,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.230000138, /00115.laz
116,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.620000064, /00116.laz
117,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.498999804, /00117.laz
118,Eucalyptus_miniata,Eucalyptus,Luck,TLS,14.33699989, /00118.laz
119,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.377999514, /00119.laz
121,Eucalyptus_miniata,Eucalyptus,Luck,TLS,21.00300086, /00121.laz
122,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.356000006, /00122.laz
123,Eucalyptus_miniata,Eucalyptus,Luck,TLS,20.87200034, /00123.laz
124,Eucalyptus_miniata,Eucalyptus,Luck,TLS,5.768000036, /00124.laz
125,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.110999852, /00125.laz
126,Eucalyptus_miniata,Eucalyptus,Luck,TLS,10.37899989, /00126.laz
127,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.441999614, /00127.laz
128,Eucalyptus_miniata,Eucalyptus,Luck,TLS,2.280000031, /00128.laz
129,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.493000418, /00129.laz
130,Eucalyptus_miniata,Eucalyptus,Luck,TLS,16.56499976, /00130.laz
132,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.17900008, /00132.laz
133,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.408999979, /00133.laz
134,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.419999614, /00134.laz
135,Eucalyptus_miniata,Eucalyptus,Luck,TLS,11.667, /00135.laz
136,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.726000369, /00136.laz
137,Eucalyptus_miniata,Eucalyptus,Luck,TLS,3.442999899, /00137.laz
139,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.059999645, /00139.laz
140,Eucalyptus_miniata,Eucalyptus,Luck,TLS,18.22300071, /00140.laz
141,Eucalyptus_miniata,Eucalyptus,Luck,TLS,12.8759999, /00141.laz
142,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.660000026, /00142.laz
143,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.093999922, /00143.laz
144,Eucalyptus_miniata,Eucalyptus,Luck,TLS,13.40800017, /00144.laz
145,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.30099982, /00145.laz
146,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.153000057, /00146.laz
147,Eucalyptus_miniata,Eucalyptus,Luck,TLS,15.94500083, /00147.laz
150,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.092999637, /00150.laz
151,Eucalyptus_miniata,Eucalyptus,Luck,TLS,17.00499922, /00151.laz
152,Eucalyptus_miniata,Eucalyptus,Luck,TLS,10.38600028, /00152.laz
153,Eucalyptus_miniata,Eucalyptus,Luck,TLS,17.12200087, /00153.laz
155,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.840000331, /00155.laz
156,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.215000212, /00156.laz
157,Eucalyptus_miniata,Eucalyptus,Luck,TLS,12.11099955, /00157.laz
158,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.356999844, /00158.laz
159,Eucalyptus_miniata,Eucalyptus,Luck,TLS,11.17000026, /00159.laz
160,Eucalyptus_miniata,Eucalyptus,Luck,TLS,10.94599959, /00160.laz
161,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.015000403, /00161.laz
162,Eucalyptus_miniata,Eucalyptus,Luck,TLS,18.28200072, /00162.laz
163,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.662000299, /00163.laz
165,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.203999698, /00165.laz
167,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.995999515, /00167.laz
168,Eucalyptus_miniata,Eucalyptus,Luck,TLS,14.97600043, /00168.laz
169,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.847000301, /00169.laz
